game,sequences,steps,visible_change_steps,visible_noop_steps,action6_points,action6_distinct_first_step_hashes,action6_sampled_coordinate_dependence,repeat_noop_then_effect_cases,exact_return_to_initial_cases
ar25,419,844,369,475,29,1,False,0,0
bp35,271,545,312,233,37,8,True,0,0
cd82,349,703,459,244,29,2,True,0,0
ft09,36,72,0,72,36,1,False,0,0
g50t,30,65,44,21,0,0,,3,0
ka59,254,512,382,130,26,1,False,0,0
ls20,20,44,44,0,0,0,,0,0
r11l,37,74,74,0,37,25,True,0,0
re86,30,65,65,0,0,0,,0,0
s5i5,36,72,72,0,36,1,False,0,0
sb26,186,374,103,271,36,5,True,0,4
sc25,281,566,155,411,29,1,False,7,0
sk48,327,659,202,457,27,1,False,0,6
sp80,338,681,681,0,28,1,False,0,0
su15,110,221,101,120,36,3,True,0,0
tu93,20,44,44,0,0,0,,0,0
vc33,26,52,52,0,26,2,True,0,0
wa30,30,65,57,8,0,0,,1,0
