game_slug,version_token_kaggle,full_game_id_kaggle,role,exposure_status_at_freeze,preexposure_reason,split_hash_sha256,game_py_bytes,game_py_sha256,game_py_git_blob_sha1,metadata_json_bytes,metadata_json_sha256,metadata_json_git_blob_sha1,version_dir_git_tree_sha1_reconstructed,mirror_version_token,mirror_game_py_git_blob_sha1,mirror_metadata_json_git_blob_sha1,mirror_py_match,mirror_metadata_match
ar25,0c556536,ar25-0c556536,DEVELOPMENT,PREEXPOSED,current replay reasoning exposed mechanics,a93e2d567531d7e122456367861f18bfc1d6b3bb15b7561a38e6589d9f6b2fe1,75395,0c556536ad902afddb600cdb2b766ac9fda243dcd07b7f3a0a0d6277339745bf,35fe18b8fbef954b033069fd701867d0c92f75de,310,2c493063d34141b70207bd50d3318c586b9221a37024b2792153d4fd4671f706,b5856868d7e2b14012515f22c291999ae01cbe12,a89b22ba35eeaa0385da88d2dbfb57e67ad6e29c,0c556536,10284fbdeaf15952a6987c42116585c8c1309cfc,48a2bff63da9440dcaaab7c73a0546850606fea1,false,false
bp35,0a0ad940,bp35-0a0ad940,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,3643c67769adb2256a7fd87d7665e6a2ca8d3dfc889cb3ddd063027eab737433,166618,0a0ad94090fe6923613bee92dd48df46b2a07877bdf0be618e385a92184b7d0d,11ea3febc0bd6176b7affe298cc32a53903d0942,319,0def96ba7fa7c7f6cf6228665cc6e355efe1d7e768102a8a6c7ce22f8e0da47b,86784c44037d90d6e670a7e05ea3868883276474,dad4c6aff86efa70552007d2e9d63559d7134f61,0a0ad940,3c69c0a3265a6c0e9fb7771c490d5ee732a17e09,a0a6eb3811600344c6d63011fd913f5d6ebdd915,false,false
cd82,fb555c5d,cd82-fb555c5d,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,60ca0668f4f52ff3cdc2800e7f6e6676a3b819546d9b4ac30f2aa53bff66562d,34273,fb555c5ddf0a3b742188646bb28d2f57cb98cf2d3263c594032b45ec8fce2a86,6498a3bc685a272671aa961e1bf495bf15be8c36,292,ccfe95990d5a9c5df2cfe134452abd3397d63ede9c22afe02584f3b2a5184c9f,4aaa164086fb0ef0a7036c2c7f09bd5718a44c6a,d9f4f7393a73bde1d58d0a5c11941d60f6a92a2e,fb555c5d,182a8a120f48e50d66c00ec5d90194e9aa698051,642cdd6b65e9deb59cc1ee39a54e544f3f44dd37,false,false
cn04,2fe56bfb,cn04-2fe56bfb,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,1c7a16806d5464e4b22f93efc6a17c8b1687ec92c6f6acc90f10c6eb7dbdbcf8,39405,2fe56bfb27680358db7d1c8b80c43e8877d6cfc629945402dc7c8967b0152603,0f8fc7e3f756cce98ee5dfa3825deb237a586891,295,4c50cb8b1e35290d0f99717f5450df794250b798747352d43c6c76f54d70cf82,a9a78a28e12209e44a0892ca1785fd6c77663689,d5fc54664d7cbea9e42c6b68bafbbdbf324f16ad,2fe56bfb,4e400796dd29d70b366afa7e1c036f84a7bbd922,3798904fa9e3a31dc71645a328d4047d22f2c61d,false,false
dc22,fdcac232,dc22-fdcac232,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,6ed131bfab361b36e32262f0c2eb62b9b216fb2e938f1c867738c6709503be52,255706,fdcac2320f6d4cfeaaddfbed5c12e533962817b99f700a2936edd2c296f3d169,1daeea992d6b41a6020e884b609bb148da0b1917,296,3d6c2410131409c056425ced8767a714e80a1734a5d74ce2a77970ec5ae2f4c6,9a869c09637a2a25f05fa358f62d34eaebab4d29,b4e00783db3cd6889d936fc705d618fd7b209c5b,fdcac232,ec0b07d19baab9129a37a882e6ab12f59e6cb370,32876a486f7efcc20711614bbb6fdf4570a12e1f,false,false
ft09,0d8bbf25,ft09-0d8bbf25,DEVELOPMENT,PREEXPOSED,secondary source exposed specialist/solver characterization,c120c3e299d3f6ccf46ab01eb7d9303d045328cad67bc39c2b2adee0a6bac122,64236,0d8bbf2573e8f9837c649a1ffda2e7bde3734d26c3cb0fc4bbfd772d7f87a6bf,34ca9b5cfe5158f71bdbf69242c7ea5206664e7b,268,abfa2c74192ad7d6330f0981d3a1609e331ce29a00d9b1d14c584c02c13d326b,eeac70d106b1c0fdd77f26efff1756b295c2859c,22568cabe95dcdcd180e36214a58c6caa3ce3aff,0d8bbf25,b492f97e518ace5e5a06d6bf06e97054f73be3fb,6893084a3e60d88a684884f3a527b3658ca2478d,false,false
g50t,5849a774,g50t-5849a774,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,a5ebba53e3d64919980af3d62c4564637ef93f00b52e3876db230b3846523887,192353,5849a7740de172289b99f39680e60d7657de203a11b7361e24181e2104eebed5,bad1882225aa304fdb37eaaf35e7e691bdd0de76,298,c3fb569bc681661d597fb5a6700abafb19f13503f235891ccfa96b7dec045177,7568163703b97c1c688f3f9045c875b15148ccd6,4a8938c0c08e1b1d8910a7fc1691225bd8e7b1b8,5849a774,1af475b5b510ef70fbda1a1482461171b3fdb27d,2e0c54dfc11345cccf90cad67610cfe568e212fe,false,false
ka59,38d34dbb,ka59-38d34dbb,DEVELOPMENT,CLEAN_DEV_SELECTED,,8da896c2c716f149eca7a42e3e131f888ee5067a7d143f9a6527eb9b4f531c3c,831580,38d34dbbf83b9a220903d11d3e5f4cdb73230c7376576669d7d66cc157f22144,37597714033430d1f392ec75e4f97e748beb993c,304,fcbcc16b233a4692c88661e1f8d3e676c86f4ae4548b1157f005a2703ff1458a,10e10ae98ae85600954d16e659f7d6da01d86647,156ede2c1461e946b791563ffbd7131356062d27,38d34dbb,9a3413473bc06213b4d8395f2fa6fd804fa3b2a9,12a703ce3bb219bb3f7b74849ea54d72cb474f0c,false,false
lf52,271a04aa,lf52-271a04aa,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,2e6f23ccae45c18bf8cdc2f7ec9c195467493404b5a7f8950ddb47df9e97b630,216183,271a04aa4aafd1b035194b346c5333ec024d2e570d349edd413499c98e9e00d8,d1f7c34ddbec611d39662bae64bc951e882350b3,322,e7a2bcb0ef7a1731ff552fe2af901f6e761868eea4e6e2b90b212fbc6cc78b61,0311827ad8091fc7b4b2d90bc5a6074f7e1e2a28,4a3b06145b89c7938a7805060e181d235a973c0c,271a04aa,1ece995d340c49cbb855730824fd9e0756e66395,a544a5e427dd74297e2714519d54f654f202dfec,false,false
lp85,305b61c3,lp85-305b61c3,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,417e236979a2a7393c5577e6a128daeb71b4fa8b658b597fc33441aa9a3895d2,456495,305b61c3d3a7463c9e723b53378c188529c0cc7d85029ba287f7f2b660fe8513,33352a81fdcb93cd7ee07b8fa8b64ca9cf01f3aa,301,240e1e87eb19901262dcd7403dcb133c1bcc1268351eeb159520a82a52989a0e,850e443425c129bdf3863799ee09e94298f261db,dc47e7060f0893e9e90fc4bed50359cee776bc22,305b61c3,cec25974f474bc50dbb9f91c351dfb50642207dc,3c311ab3d7d3869c86531981f6539d9f07a3ae2d,false,false
